No,일자,택배지점,터미널,집배점,배송완료 대상건수,배송 예정시간내 건수,배송 예정 시간내 완료율
581.0,20260518,진주,남해,남해(집),350.0,262.0,74.9%
582.0,20260518,진주,사천,사천사남(집),324.0,321.0,99.1%
583.0,20260518,진주,사천,사천읍(집),310.0,306.0,98.7%
584.0,20260518,진주,사천,삼천포(집),371.0,342.0,92.2%
585.0,20260518,진주,산청,산청단성(집),143.0,141.0,98.6%
586.0,20260518,진주,산청,산청읍(집),123.0,88.0,71.5%
587.0,20260518,진주,진주,진주금산(집),522.0,510.0,97.7%
588.0,20260518,진주,진주,진주대안(집),332.0,239.0,72%
589.0,20260518,진주,진주,진주상대(집),376.0,360.0,95.7%
590.0,20260518,진주,진주,진주초전(집),555.0,518.0,93.3%
591.0,20260518,진주,진주,진주충무공(집),971.0,804.0,82.8%
592.0,20260518,진주,진주,진주칠암(집),333.0,325.0,97.6%
593.0,20260518,진주,진주,진주평거(집),696.0,459.0,65.9%
594.0,20260518,진주,하동,하동(집),407.0,280.0,68.8%
595.0,20260518,진주,함양,함양수동(집),281.0,230.0,81.9%
596.0,20260518,진주,함양,함양안의(집),67.0,67.0,100%
597.0,20260518,진주,합천,합천(집),308.0,232.0,75.3%
598.0,20260518,창원,마산,마산가포(집),690.0,670.0,97.1%
599.0,20260518,창원,마산,마산내서(집),1451.0,1415.0,97.5%
600.0,20260518,창원,마산,마산양덕(집),820.0,615.0,75%
601.0,20260518,창원,마산,마산진동(집),259.0,254.0,98.1%
602.0,20260518,창원,마산,마산회성(집),511.0,473.0,92.6%
603.0,20260518,창원,의령,의령(집),234.0,157.0,67.1%
604.0,20260518,창원,진해,진해용원(집),1196.0,917.0,76.7%
605.0,20260518,창원,진해,진해중앙(집),653.0,609.0,93.3%
606.0,20260518,창원,창녕,창녕(집),611.0,585.0,95.7%
607.0,20260518,창원,창원,동읍(집),824.0,704.0,85.4%
608.0,20260518,창원,창원,창원북면(집),719.0,690.0,96%
609.0,20260518,창원,창원,창원사파(집),623.0,553.0,88.8%
610.0,20260518,창원,창원,창원상남(집),897.0,872.0,97.2%
611.0,20260518,창원,창원,창원신촌(집),830.0,739.0,89%
612.0,20260518,창원,창원,창원중앙(집),1433.0,1275.0,89%
613.0,20260518,창원,통영,통영용남(집),389.0,353.0,90.7%
614.0,20260518,창원,통영,통영중앙(집),709.0,656.0,92.5%
615.0,20260518,창원,함안,함안(집),754.0,570.0,75.6%
616.0,20260518,천안,동천안,목천(집),777.0,773.0,99.5%
617.0,20260518,천안,동천안,병천(집),209.0,188.0,90%
618.0,20260518,천안,동천안,신방(집),807.0,739.0,91.6%
619.0,20260518,천안,동천안,신부(집),621.0,613.0,98.7%
620.0,20260518,천안,동천안,천안구성(집),824.0,762.0,92.5%
621.0,20260518,천안,아산,공수(집),585.0,564.0,96.4%
622.0,20260518,천안,아산,둔포(집),798.0,739.0,92.6%
623.0,20260518,천안,아산,모종(집),778.0,671.0,86.2%
624.0,20260518,천안,아산,북수(집),1335.0,1255.0,94%
625.0,20260518,천안,아산,신창(집),622.0,611.0,98.2%
626.0,20260518,천안,아산,탕정(집),1202.0,1140.0,94.8%
627.0,20260518,천안,예산,신예산(집),944.0,794.0,84.1%
628.0,20260518,천안,천안,두정(집),700.0,618.0,88.3%
629.0,20260518,천안,천안,불당(집),1393.0,1364.0,97.9%
630.0,20260518,천안,천안,성환(집),421.0,420.0,99.8%
631.0,20260518,천안,천안,직산(집),745.0,671.0,90.1%
632.0,20260518,천안,천안,천안백석(집),1292.0,1176.0,91%
633.0,20260518,청주,괴산,괴산(집),970.0,564.0,58.1%
634.0,20260518,청주,보은,보은(집),333.0,306.0,91.9%
635.0,20260518,청주,서청주,복대(집),1820.0,1666.0,91.5%
636.0,20260518,청주,서청주,비하(집),447.0,439.0,98.2%
637.0,20260518,청주,서청주,송절(집),1440.0,1233.0,85.6%
638.0,20260518,청주,서청주,수곡(집),435.0,431.0,99.1%
639.0,20260518,청주,서청주,오송(집),1300.0,1264.0,97.2%
640.0,20260518,청주,음성,금왕(집),875.0,729.0,83.3%
641.0,20260518,청주,음성,맹동(집),498.0,385.0,77.3%
642.0,20260518,청주,진천,덕산(집),810.0,655.0,80.9%
643.0,20260518,청주,진천,진천(집),463.0,458.0,98.9%
644.0,20260518,청주,청주,내덕(집),1071.0,995.0,92.9%
645.0,20260518,청주,청주,미원(집),1250.0,1160.0,92.8%
646.0,20260518,청주,청주,오창(집),1380.0,1271.0,92.1%
647.0,20260518,청주,청주,우암(집),719.0,646.0,89.8%
648.0,20260518,청주,충주,동량(집),580.0,517.0,89.1%
649.0,20260518,청주,충주,주덕(집),909.0,892.0,98.1%
650.0,20260518,청주,충주,호암(집),650.0,643.0,98.9%
651.0,20260518,춘천,가평,가평(집),1173.0,753.0,64.2%
652.0,20260518,춘천,양구,양구(집),294.0,145.0,49.3%
653.0,20260518,춘천,인제,인제(집),479.0,362.0,75.6%
654.0,20260518,춘천,춘천,춘천남산(집),273.0,192.0,70.3%
655.0,20260518,춘천,춘천,춘천동내(집),783.0,730.0,93.2%
656.0,20260518,춘천,춘천,춘천중앙(집),975.0,930.0,95.4%
657.0,20260518,춘천,춘천,춘천퇴계(집),1254.0,1226.0,97.8%
658.0,20260518,춘천,춘천,효자(집),392.0,387.0,98.7%
659.0,20260518,춘천,홍천,홍천(집),1010.0,798.0,79%
660.0,20260518,춘천,화천,화천(집),306.0,274.0,89.5%
661.0,20260518,평택,남안성,공도(집),2048.0,1361.0,66.5%
662.0,20260518,평택,남안성,안성(집),1068.0,975.0,91.3%
663.0,20260518,평택,송탄,서탄(집),1054.0,941.0,89.3%
664.0,20260518,평택,송탄,송탄(집),838.0,821.0,98%
665.0,20260518,평택,안중,고덕(집),1827.0,1591.0,87.1%
666.0,20260518,평택,안중,평택청북(집),1539.0,1297.0,84.3%
667.0,20260518,평택,오산,오산고현(집),1180.0,924.0,78.3%
668.0,20260518,평택,오산,오산중앙(집),1711.0,1411.0,82.5%
669.0,20260518,평택,평택,비전(집),1156.0,1117.0,96.6%
670.0,20260518,평택,평택,용이(집),781.0,770.0,98.6%
671.0,20260518,평택,평택,평택지제(집),966.0,895.0,92.7%
672.0,20260518,포항,경주,보문(집),2139.0,1899.0,88.8%
673.0,20260518,포항,경주,황성(집),217.0,42.0,19.4%
674.0,20260518,포항,남경주,감포(집),522.0,443.0,84.9%
675.0,20260518,포항,남경주,안강(집),901.0,738.0,81.9%
676.0,20260518,포항,영덕,영덕(집),347.0,135.0,38.9%
677.0,20260518,포항,영덕,후포(집),118.0,25.0,21.2%
678.0,20260518,포항,울진,울진(집),295.0,274.0,92.9%
679.0,20260518,포항,울진,죽변(집),227.0,110.0,48.5%
680.0,20260518,포항,포항,기계(집),84.0,81.0,96.4%
681.0,20260518,포항,포항,오천(집),1373.0,1085.0,79%
682.0,20260518,포항,포항,포항중앙(집),656.0,615.0,93.8%
683.0,20260518,포항,포항,효곡(집),935.0,929.0,99.4%
684.0,20260518,포항,포항북구,구룡포(집),263.0,256.0,97.3%
685.0,20260518,포항,포항북구,양덕(집),682.0,555.0,81.4%
686.0,20260518,포항,포항북구,울릉(집),239.0,151.0,63.2%
687.0,20260518,포항,포항북구,포항북구(집),820.0,788.0,96.1%
688.0,20260518,포항,포항북구,흥해(집),1132.0,1051.0,92.8%
689.0,20260518,하남,구리,구리(집),1955.0,1874.0,95.9%
690.0,20260518,하남,구리사노1(광진),광장(집),729.0,663.0,90.9%
691.0,20260518,하남,구리사노1(광진),구의(집),1160.0,905.0,78%
692.0,20260518,하남,구리사노1(광진),군자(집),612.0,531.0,86.8%
693.0,20260518,하남,구리사노1(광진),자양(집),412.0,380.0,92.2%
694.0,20260518,하남,구리사노1(광진),중곡(집),489.0,415.0,84.9%
695.0,20260518,하남,미사,교산(집),88.0,88.0,100%
696.0,20260518,하남,미사,미사(집),968.0,863.0,89.2%
697.0,20260518,하남,미사,미사중앙(집),394.0,358.0,90.9%
698.0,20260518,하남,성동,금호(집),745.0,561.0,75.3%
699.0,20260518,하남,성동,성수(집),548.0,449.0,81.9%
700.0,20260518,하남,성동,왕십리(집),476.0,469.0,98.5%
701.0,20260518,하남,성동,행당(집),623.0,576.0,92.5%
702.0,20260518,하남,하남,감일(집),386.0,356.0,92.2%
703.0,20260518,하남,하남,덕풍(집),524.0,446.0,85.1%
704.0,20260518,하남,하남,하남신장(집),627.0,626.0,99.8%
705.0,20260518,하남,하남,학암(집),325.0,325.0,100%
합계,,,,,546133.0,478600.0,87.6
